tarih;duygu;veri;;;
19.03.2020;;"Büyük özveri ile çalışan başta Sağlık Bakanımız olmak üzere, tüm sağlık emekçilerimize minnettarız.  Son zamanlarda moda haline gelen Doktor darp etme eylemlerinin Ülkemizde bir daha görülmemesi dileklerimle. #COVID19tr #saglik  #COVID19  #koronavirus  #Corona #evdezamangecmiyor https://t.co/xhzRrIyAgs""";;;
19.03.2020;;"Azıcık ağlamış olabilirim. Camda tek başıma olacağımı zannediyordum. #coronatuerkiye #corona https://t.co/paRc54zR2n""";;;
19.03.2020;;"Deprem dışarı  Corona içeri""";;;
19.03.2020;;"#SağlıkcılarınıAlkısla #Turkey #Corona #CoronaVirusChallenge #sağlıkcalısanları Herşey için teşekkür ederiz. Devletimizinde fedakarca işini yapan bu insanlar için ücret ve çalışma şartlarını  iyileştirmesini istiyoruz.. https://t.co/aUvl439Cji""";;;
19.03.2020;;"Bu kafa ile, corona ile mücadele züksen olmaz #corona #EvdeKalTR #COVID19 https://t.co/bCxBKV1bia""";;;
19.03.2020;;"Allahım bu nasıl bir yıldır bu nasıl bir gündür... Bir yandan Corona, bir yandan deprem, bir yandan İdlib'den şehit haberi, bir yandan üniversite arkadaşımın vefat haberi...""";;;
19.03.2020;;"???????? Corona Virüsün yayılma şekilleri https://t.co/q29dIrlKt6""";;;
19.03.2020;;"Nerde çokluk, orda corona. ?? #COVID19tr""";;;
19.03.2020;;"#virüsüsoruyorum Ateş, öksürük gibi hiç bir belirti yoksa bile corona virüsü hastalığı olabilir mi?""";;;
19.03.2020;;"Evde dursan deprem dışarı çıksan corona ne yapalım neee""";;;
19.03.2020;;"Dışarı çıksak #corona içeri girsek #deprem ne yapacağımızı şaşırdık.""";;;
19.03.2020;;"Corona’ya da alıştığımıza göre  Biraz daha zorlaştıralım  2 şehit 5.0 büyüklüğünde deprem #coronatuerkiye #deprem #şehidimizvar #türkiye""";;;
19.03.2020;;"Dünyayı etkisi altına alarak Türkiye'ye ulaşan Corona virüsü en çok sağlık çalışanlarını etkiledi. 7/24 çalışan doktorlar, hemşireler ve hasta bakıcılar en büyük risk grubunu oluşturuyor. #BuMemleketHepimizin""";;;
19.03.2020;;"Pınar Deniz’in anneannesi corona şüphesi ile gözlem altına alındı!  https://t.co/wGx6VWbe9x""";;;
19.03.2020;;"24 yaşındaysanız ve arkadaşınız dünyanın en evhamlı insanıysa hayat gerçekten çok zor. Adam, corona bulaşır diye telefonlarımı bile açmıyor. Onu ilk gördüğüm yerde kolonya şişesiyle dövücem.""";;;
19.03.2020;;"İnteraktif Eğitim Seminerlerimizin ilkini Türk Sağlık Sen Mersin şube başkanı sn Ayhan Güngör ve Laborant Mehmet Muku'nun katılımlarıyla \""Corona Covid-19 ve Korunma Yolları\"" konusuyla gerçekleştirmiş bulunuyoruz.#Mersin #ÜlküOcakları https://t.co/QWbxLPN3Zu @CagriUnel @sonerrbag https://t.co/iVxNQ3SoVJ""";;;
19.03.2020;;"Hele bi 20 Nisanı görelim. Mevcut durum ne olur. Duruma göre bi yol haritası çizilir. Kararın ilk gününden teoriler üretmekte ne oluyor arkadaş. #Corona #beinsport #Süperlig @TFF_Org #Turkey""";;;
19.03.2020;;"Pencerenden de ıslıl ve alkışlarla tüm mahalle katıldık. İyi ki varsınız sağlık çalışanları??????????????????????????????????????????????????¦?¦?¦?¦? #corona #alkışsağlıkçalışanlarına""";;;
19.03.2020;;"#Elazığ'da 5.1 büyüklüğünde deprem oldu. Corona'dan dolayı evde kalırken, depremden dolayı evden kaçmak zorunda kalmak kötü bir durum. Rabbim selamet versin. Diyarbakır'dan da hafif bir şekilde hissettik.""";;;
19.03.2020;;"Yaklaşık bir dakika önce sevgi yolunda herkes camlara çıkıp bir şeyi alkışlıyordu Ne oldu #corona  bitti mi ????""";;;
19.03.2020;;"#deprem oldu. Merkez üssü elazığ malatyadanda hissedildi. deprem öldürmezse corona , corona öldürmezse deprem öldürecek...""";;;
19.03.2020;;"Saat 21.00 camlardaydık.. Tüm sağlık çalışanlarımıza vallahi ???? billahi ????  Duygulandım vesselam, insanlığın ölmediğini görmek çok güzel ????  #Covid19Tr   #Corona""";;;
19.03.2020;;"Corona bulaşma ölse haberiniz olmayacak . Sigortamız da bitti bu saatten sonra Allah a emanetiz  #Mağdur5393Çaresiz""";;;
19.03.2020;;"1 dk alkış ???? iyi ki varsınız beyaz önlüklü melekler ?????????? #corona #SağlıkCalısanlarınaAlkısyeterliDeğil""";;;
19.03.2020;;"Allah elazığ’ın belasını iki kez vermiş sanki deprem, virüs.. #deprem #corona""";;;
19.03.2020;;"Çıkmayın ülen dışarı #Corona https://t.co/0zYzju8Upx""";;;
19.03.2020;;"Corona yüzünden Cs:Go oynamayı öğrendim aq""";;;
19.03.2020;;"Bu corona tr sayfası 2014 çıkışlı, hangi hesabın konjonktüre uygun dönüşmüş hali acaba. Böyle şeyleri atlamam.""";;;
19.03.2020;;"Corona Virüsü, Mersin’e etkileri https://t.co/cZJwnihUNW""";;;
19.03.2020;;"Corona da olmak istediğim camia https://t.co/l57sT1y1Lv""";;;
19.03.2020;;"İnsanlık bu badireyi elbette atlatacak.  Ama bu ülkenin insanları artık lütfen
 “Hayatta en hakiki mürşit ilimdir” vizyonuyla “ulemaya soralım” arasındaki hayati tercihini, idrak etmek zorundadır.  #Corona https://t.co/zhqknOqfpW""";;;
19.03.2020;;"Corona sonrası deprem. Anlık Malatyalılar :  #depremmalatya https://t.co/wVDrqtV6gZ""";;;
19.03.2020;;"1 nisan yaklaşıyor hazır mısınız ben corona oldum şakalarını duymaya ansmcmmcöv""";;;
19.03.2020;;"hepppimiz alkışladik smsldndlxnspxnspdsn bütün mahalle iyi ki varsiniz ne diyelim hakkinizi odeyemeyiz?? #corona""";;;
19.03.2020;;"Tüm sağlık çalışanlarımız için, iyi ki varsınız #corona #Coronaturkey  #sağlıkpersonelieksikalımsart https://t.co/mzXUCB4H9D""";;;
19.03.2020;;"Deprem or corona ... seçim  yapmalıyız""";;;
19.03.2020;;"#deprem  5 büyüklüğünde deprem meydana geldi Elazığ da öncelikle herkese geçmiş olsun . Corona nedeniyle dışarı da çıkamıyoruz Allah daha büyüklerinden korusun""";;;
19.03.2020;;"Corona Günlerinde, Madem #BeraberBaşaracağız -Sağlık ürünlerinde KDV nin sıfırlanması gerekmez mi?""";;;
19.03.2020;;"Corona lütfen sadece tiktokçuları al ve git""";;;
19.03.2020;;"Evde deprem dışarda corona  Ölümden kaçamazsın Allah’a kaç!""";;;
19.03.2020;;"#SONDURUM mecbur işe gidiyorum eşim ceza evinde  elektirik faturası su var kira var #Corona  gelsede yapacak bir şey yok  allah yardimcim olsun @ailevecalisma @abdulhamitgul @YildizFeti @RTErdogan @dbdevletbahceli @ersansenhoca @MTanal @kilicdarogluk""";;;
19.03.2020;;"Ankara #COVID19tr Alkışlar tıp personeli çalışanlarımıza..  #StayHome #Turkey #Corona https://t.co/ItmgZ5Tfd5""";;;
19.03.2020;;"23 Derece başladı. Corona virüs özel yayını  https://t.co/eRiEdE2UHf""";;;
19.03.2020;;"Gözlerimde yaşlarla saat 21’de ellerim patlayana kadar sağlık çalışanlarına alkış desteğine katıldım. Ben de eskiden bir sağlık çalışanıydım hepinize binlerce kez teşekkürler... komşularımı da dahil ettim yazık teyze de corona için çare bulundu kurtulduk sanmış kıyamam""";;;
19.03.2020;;"Bizim burada benden hariç kimse alkışlamadı aq siz bi corona olunda ben sizi o zaman görücem... #Corona #Turkey saat 21:00'da""";;;
19.03.2020;;"Virüs emekçiyi vurmasın, corona krizini bile patronlar lehine kullanan AKP düzeni batsın Emekçilere derhal #ücretsizdeğilücretliizin https://t.co/xtYPW7IhW3""";;;
19.03.2020;;"Fenerbahçe’de aynı İtalya’daki gibi sağlık çalışanlarını desteklemek için her evden ses geliyor... Corona günlerinde enteresan zamanlardan geçiyoruz..!! Sizde de var mı..?""";;;
19.03.2020;;"Ankara Kızılay'da halk doktorlara teşekkür etmek için onları balkonlardan alkışladı.  #evdezamangecmiyor #beratalbayrak #Turkey #Aytacyalman #CoronaVirusChallenge #COVID19 #coronavirus #Corona https://t.co/I2pkPCudgD""";;;
19.03.2020;;"VerBanaGülüşlerimi... #Corona https://t.co/aDlAJljDV1""";;;
19.03.2020;;"Gezi’den beri hiç bu kadar duygulanmamıştım. #Sağlıkçılar için tüm sokak moral alkışında. #corona #koronatürkiye https://t.co/oNyxWzIppf""";;;
19.03.2020;;"Depremden mi kaçsak coronadan mı bizde şaşırdık Allahım sen bizi ne güzel sınıyorsun ?????+???  #deprem #corona""";;;
19.03.2020;;"Hepiniz corona uzmanı oldunuz amına kodumun cahil ibineleri""";;;
19.03.2020;;"peki deprem olursa evden dışarı mı çıkacağız yoksa corona var diye evde mi kalacağız? #coronatuerkiye""";;;
19.03.2020;;"Hapisanelerde corona ile ölümleri duyurmasın @biten_hayatlar  YaşamHakkıİçin AcilTahliye""";;;
19.03.2020;;"herkesin aklında ya ben corona olursam sorusu.. corona oldugunuzu öğrendiginiz an ne yaparsınız..  - ben son kez hz.yusuf izlerdim... 10/10 dizi hatta 20/20 https://t.co/150HO3xXOx""";;;
19.03.2020;;"Spotify'da olmayan şarkı için oynatma listesi oluşturanlar corona'dan fazla yoruyorsunuz""";;;
19.03.2020;;"Dışarda corona içerde deprem hayırlısıyla bi öleydik ?????>? #deprem""";;;
19.03.2020;;"İyi çalıştı dedik, takdir ettik.. Lakin salgın sırasında İran'dan dönmesine karşın iltimas edip karantinaya almadıkları ve evinde de karantina uygulamadıkları Aytaç Paşa, Corona'dan ölüverince olayı gizlemesi, bize onun da RTE+AKP hükumetinin bir bakanı olduğunu hatırlatıverdi.!! https://t.co/EpXDSfO7gf""";;;
19.03.2020;;"Beşiktaş #corona  #BeraberBaşaracağız https://t.co/C1vZLGkGCU""";;;
19.03.2020;;"Alkışlıyoruz başkanım. Başta siz olmak üzere tüm sağlık çalışanlarını yürekten saygıyla alkışlıyoruz. #Corona #Turkey #Aytacyalman https://t.co/40Cc2T2U73 https://t.co/75uCg6bTyJ""";;;
19.03.2020;;"4 saattir ev temizliyorum. Klorak ve ozon kokusundan bırak Coronayı ben bile yaşayamıyorum şu an evde. Corona değil Klorak bitirdi ciğerlerimi.""";;;
19.03.2020;;"Allah bize ölmemiz için birçok seçenek sunuyor. Hangisini tercih etsem acaba? Corona mı deprem mi? https://t.co/FlkH9L6hrc""";;;
19.03.2020;;"Şu corona geçince 2 hafta eve uğramicam bune be çok sıkıldım çok netflix kusucam""";;;
19.03.2020;;"Corona virüsü ,yani şimdiki adıyla  “Covid 19”gün geçtikçe ülkemizde artış göstermekte. bu virüsün yayılımını Birlikte durduralım. #14kuralınauyalım #EvdeKalTR #korukendini #KendiniKoruyanToplumuKorur""";;;
19.03.2020;;"Çin’in Vuhan kenti yetkilileri yeni bir tip Corona virüsü söylentilerini engellemeye çalışıyorlardı.  Bir doktor bir konuda meslektaşlarını uyarmaya başladı. Bu uyarı kısa zamanda Polisin kuşağına gitti. Oyun terse döndü. Bu kez polis doktoru uyarmaya başladı+++""";;;
19.03.2020;;"Corona konvoyu mu? Coronayı yenersek  ülkece neler yaparız Allah bilir.""";;;
19.03.2020;;"Evrimin önünden, balkonlardan doktorlarımıza destek alkışları, canım Antalyam #evdezamangecmiyor #CoronaVirusChallenge #Corona #Covid_19 https://t.co/1hGKMrQX7w""";;;
19.03.2020;;"Yakın arkadaşlarımdan corona bulaşmayacak gibi geliyor""";;;
19.03.2020;;"Konu sadece corona değil, sağlık çalışanları her zaman enfeksiyon riskiyle karşı karşıya çalışıyor zaten... Her zaman görevlerinin başındalar, yılmadan, yorulmadan çalışıyorlar. Alkışlamaktan daha öte şeyler yapmalıyız, mesela 4 gündür uykusuzum diye doktora gitmemeliyiz artık...""";;;
19.03.2020;;"Herkesin tam 21.00 da alkışlaması o kadar güzeldiki hakkınızı ödeyemeyeyiz sağlık çalışanları ???????? Böyle günlerde birlik olmak çok önemli Türkiyem???? #corona  #SağlıkCalısanlarınaAlkıs  #SağlıkcılarınıAlkısla  #sağlıkbakanlığı  #SağlıkBakanıFahrettinKoca""";;;
19.03.2020;;"corona sayesinde bugün 12 yıl sonra abimle pes6 oynadık oynarken gözümden yaş geliyordu az kalsın..... bi daha bu virüse laf edene ağır küfür ederim""";;;
19.03.2020;;"Corona virüsü ile yakından mücadele eden tüm sağlıkçılar için, saat 21:00'de bütün Türkiye balkonlara çıkarak alkış tutacak.""";;;
19.03.2020;;"Corona virüsünden kurtulana kadar her akşam saat 21.00 da tüm sağlık çalışanlarına desteğe dayanışmaya devam edelim lütfen... #herakşam9da https://t.co/KRLxQCzZZv""";;;
19.03.2020;;"Biz birlikte çok güzeliz be ?????? alkışlar tüm sağlık çalışanlarımıza  #saat21 #Turkey #CoronaVirusChallenge #COVID19 #Corona #bahçesehir https://t.co/c2Zt5cfBdi""";;;
19.03.2020;;"Dünyanın en zengin ikinci insanı unvanını elinde bulunduran, Microsoft'un kurucusu Bill Gates, corona virüs (COVID-19) aşısının ne zaman dair olacağı sorununa yanıt verdi.  #BillGates #coronavirüsaçıklaması #coronavirüsaşı #coronavırus #covid19 https://t.co/uJC5h9VNwM https://t.co/s94JJukOik""";;;
19.03.2020;;"Dünyayı etil alkol kurtaracak #corona #evdezamangecmiyor #Turkey""";;;
19.03.2020;;"Babam anneme sende #corona gibi bir şeysin dedi aile faciası yakındır ??""";;;
19.03.2020;;"Beyinsiz abdal şerefsiz asin bu  adiyi CHP'li eski vekil Hüsnü Bozkurt'dan Halk TV'de skandal sözler! Corona virüsü de Başkan Erdoğan'a bağladı https://t.co/IwaAV5LMVr""";;;
19.03.2020;;"Asılsız corona virüs paylaşımlarına 64 gözaltı İçişleri Bakanlığı'dan yapılan açıklamada, \""11 Mart'tan bu yana sosyal medyada provokatif corona virüs paylaşımları yaptığı iddia edilen 242 şüpheliden 64'ü gözaltına alındı\"" ifadeleri kullanıldı.""";;;
19.03.2020;;"Farkında mısınız ya da sadece benim mi dikkatimi çekti bilmiyorum TV’lerde sadece Corona virüs konuşuluyor F..ö artık konuşulmuyor Allaha sopası yok ama Allah’ın Coronası var Hep dua ediyorum Allah zalimlere bizi unutturacak dertler versin..amin""";;;
19.03.2020;;"Biz evimizde sağlıkla oturalim diye emek veren tüm sağlık çalısanlarina sonsuz teşekkürler. #COVID19tr #Corona #BeraberBasaracağız""";;;
19.03.2020;;"Son dakika
 Çeşme’de bir kişide Corona virüsü saptandı! 45 aile karantinaya alındı....virüs tehlikesi heryerde.. https://t.co/wdhz2gKaQY #gazetesozcu @gazetesozcu aracılığıyla""";;;
19.03.2020;;"Evde kal corona var, deprem var evden çık.""";;;
19.03.2020;;"İçerde deprem dışarda #corona nasıl ölecez Acaba ? https://t.co/QdfsJEy91n""";;;
19.03.2020;;"#CoronaCrisis hollanda burada  dimdik ayakta bugun  20 ölu bilmem kacyuz vaka vekelat kemerini tak vruis  maskelerini bagla corona   vruis geliyor haydi siginaklara ????""";;;
19.03.2020;;"5 gün sonra Sayın CB, Corona'da bizi kandırdı diyebilir mi?#PTTEmekcileriRiskAltinda""";;;
19.03.2020;;"Küçük Kuzum: \""ne oluyor baba\""i  Ben : \""Corona salgınında yardım eden doktorlar için\"" Küçük kuzu: \""heeee\""  Balkondan bağıra bağıra \""hepinize çok tesekkur ediyorum\""  (Zeynep Sezgi 5 yaşında)""";;;
19.03.2020;;"Tüm Türkiye corona ile mücadele eden sağlıkçılarını ve bakanını @drfahrettinkoca  alkışlıyor. İşte bu Türkiyem ??????????????????????  #EvdeKalTürkiye #EvdeKal #covid19""";;;
19.03.2020;;"Corona dolayısıyla pençelerime hakim olmaya çalışıyorum https://t.co/ymlQHoj2kD""";;;
19.03.2020;;"Evde deprem, dışarıda corona. #malatyadeprem""";;;
19.03.2020;;"Corona Virüse karşı tedbir paketi açıklandı: - Patrona para,  - Yoksula sabır ve dua,  - Yaşlılara da kolonya...  Geçmiş olsun TÜRKİYEM? #coronavirusturkey #COVID19""";;;
19.03.2020;;"Corona ' dan Korunuyorumdur  Yazmayın https://t.co/d1kneXgOSB""";;;
19.03.2020;;"Lan corona yüzünden insallah zaten uzayan okulum daha çok uzamaz""";;;
19.03.2020;;"Milliyetçi Hareketin Lideri Sayın Devlet Bahçeli  Corona virüsü hep birlikte tedbir ve duayla yeneceğiz  dediğinde çemkiren ailçaklar.  Devlet Bey Kuran ve sünnete göre konuştu.  Siz konuşmaya değil. Allaha Resulüne ve Dini mübini İslama düşmansınız.  Sizi ona havale ettik.""";;;
19.03.2020;;"\""Saat 21.00\""  corona olsa da olmasa da din dil ırk parti farkı gözetmeden ayrımcılık yapmadan hep bu millet için Türkiye için varım çalışırım #devletebedmüddet ???? alkış ve ıslıklar duyuyorum #coronawirus  bizi bölemez yıkamaz ülkeye #darbe vuramaz #dikdurun #panik yapmayın""";;;
19.03.2020;;"21.00 da sağlık çalışanlarımızı mahallece alkışladık beni ufak kızım İn olaydan haberi yok sesi duyunca balkona geldi ne o baba dedi sağlıkçılar alkışlıyoruz dedim cevabı ne oldu baba corona ya aşıyı mı bulmuşlar dedi..! Biz koptuk ??????""";;;
19.03.2020;;"Saat 21.00 etraf alkış korna ıslık sesi... bi dayı soyunmuş tezahürat ediyor corona ananı si*meye geldik diye""";;;
19.03.2020;;"Evde otursak deprem dışarı çıksak corona Elazığ olarak napacağız bilmiyoruz #elazıgdeprem""";;;
19.03.2020;;"#CoronaVirusChallenge #Corona #Covid_19 Oysa umutlu çıkmıştık 5 kişi alkışladık :(( https://t.co/Gk6P9Lsmji""";;;
19.03.2020;;"Son dakika
 Çeşme’de bir kişide Corona virüsü saptandı! 45 aile karantinaya alındı https://t.co/u2C1RId988 #gazetesozcu @gazetesozcu aracılığıyla""";;;
19.03.2020;;"Siz olmazsanız biz olmayız???????????????????????????????? #corona #Covid_19 #SağlıkcılarınıAlkısla #FahrettinKoca #evdekal @drfahrettinkoca https://t.co/2imX5uil2y""";;;
19.03.2020;;"Bursa ve Edirne’de Corona tedbiri olarak bankları söktüler! https://t.co/vu5Jxh3dLC""";;;
19.03.2020;;"Ne var yani Corona var diye evde date teklif ettiysek bu kadar fesat olmayın abi""";;;
19.03.2020;;"Corona Virüs : Abiy turkiy cok güsel insanlar hala sokaktaa #Coronaturkey""";;;
19.03.2020;;"Kayseri çok güzeldi ?? Tüm sağlıkçılarımıza Rabbim kuvvet versin #corona ???? umarım en az zararla atlatan ülke oluruz https://t.co/fMZHctLGbq""";;;
19.03.2020;;"Sağlık çalışanlarına destek amaçlı saat 21.00 itibari ile vatandaşlar balkona çıkarak alkış gösterisi yaptılar. İtalya hadi kardeşim bak işine #coronavirüs #corona https://t.co/n2Muk8T4FL""";;;
19.03.2020;;"Herkes balkonda alkış yapıyormuş hadi Corona marşını söylemenin tam zamanı söyleyin jaowkfkwodkwkkf""";;;
19.03.2020;;"Sokağımla gurur duydum . Baya katılım oldu 21.00 deki alkış etkinliğine. Hala da devam ediyor. Öyle güçlü çıktı ki sesimiz . Yankılandı resmen boş sokakta alkışlar #COVID19 ile mücadelede tüm sağlık çalışanlarının Allah yardımcısı olsun. #corona""";;;
19.03.2020;;"Akciğere inmeden önce 4 gün boğazda takılan virüs #Corona https://t.co/ju8KtEbJgM""";;;
19.03.2020;;"COVİD-19 ile mücadelimizde okulumuz itina ile dezenfekte edilmiştir çoçuklarımızın sağlığı herşeyden önce gelir???? #artıdeğişimözeleğitimmerkezi #corona https://t.co/4GQbk1VrOt""";;;
19.03.2020;;"TÜRKİYEYE MÜCADELE VEREREK CORONA VİRÜSÜ GETİRTİLER SONUNDA ??????""";;;
19.03.2020;;"Kuş olup uçmak istiyorum. Yıldım ???? Bi yandan #Corona bir yandan #Deprem Bi salın yaaa. https://t.co/UKlzQJIoVv""";;;
19.03.2020;;"Evde mi duralım? Dışarı mı çıkalım?   Deprem, Corona, Çekirge İstilası, Savaş, Çığ düşmesi, Orman Yangınları..  Neyiniz varsa getirin, Topunuz gelin işte.  #deprem #EvdeKal""";;;
19.03.2020;;"Corona ile mücadele şeklim... Önce ruh sağlığı... https://t.co/QG8xKcpX5C""";;;
19.03.2020;;"Corona: Sakin olun sadece tiktokçuları alıp gitcem.""";;;
19.03.2020;;"Dünyayı etkisi altına alarak Türkiye'ye ulaşan Corona virüsü en çok sağlık çalışanlarını etkiledi. 7/24 çalışan doktorlar, hemşireler ve hasta bakıcılar en büyük risk grubunu oluşturuyor. #BuMemleketHepimizin""";;;
19.03.2020;;"Corona vecim? deyil??""";;;
19.03.2020;;"Abdürrahim Albayrak Corona olmuş geçmiş olsun Corona virus""";;;
19.03.2020;;"SUADİYE AYAKTA ???????????? #Türkiye #corona #COVID19 https://t.co/cbeveb5ye5""";;;
19.03.2020;;"Sağlık çalışanları #corona https://t.co/VXuxmvAnoa""";;;
19.03.2020;;"Az önce bütün mahalle balkonlarda,camlarda ıslıklar ,alkışlar ???????? hep beraberdi #corona Uzun zaman sonra yüzümde bir gülümseme belirdi ! Bravo""";;;
19.03.2020;;"Dışarı çık corona evde kal deprem..""";;;
19.03.2020;;"Sağlık çalışanlarına destek amaçlı düzenlenen alkış kampanyası oturduğum sitede yoğun katılımla gerçekleşti gerçekten şaşırdım, insanlarda farkındalık oluşuyormuş demekki #Corona""";;;
19.03.2020;;"Teşekkürler ürettigin Corona kiti için ¦?¦?¦? @pnrakalin""";;;
19.03.2020;;"Corona virüsü ile yakından mücadele eden tüm sağlıkçılar için, saat 21:00'de bütün Türkiye balkonlara çıkarak alkış tutacak. https://t.co/4kSGADTyyS https://t.co/geogdAcKyM""";;;
19.03.2020;;"Karantina denildi diye millet balkona çıkmadı alkışlamaya be yazık?? #Corona""";;;
19.03.2020;;"Üsküdar'da Corona protesto ediliyor https://t.co/R7dsmvynB9""";;;
19.03.2020;;"Nasip et Allahim #corona #virüs #Türkiye #EvdeKal https://t.co/EBddNfeZSN""";;;
19.03.2020;;"Corona virusu bir yandan Elazigda depremler oluyor küçükte olsa 2021 yilina ulasabiliriz inşallah #COVID19tr #depremelazığ""";;;
19.03.2020;;"camı açıp alkışlarken corona piçi durduramaz bizi diye bağırdığım için özür diliyorum fazla kaptırdım kendimi""";;;
19.03.2020;;"Saat 23:52 ile 23:58 arasından nefret eder oldum.  #evdezamangecmiyor  #Turkey  #CoronaVirusUpdate  #Corona""";;;
19.03.2020;;"????  Dışarı çıkma Corona İçeri girme deprem  ????""";;;
19.03.2020;;"Çin Dışişleri Bakanlığı, vatandaşlarına Corona Virüsü salgını nedeniyle yüksek riskli ülkelere seyahat etmemeleri tavsiyesinde bulundu. Kesin bilgi. #coronavirus #Covid2019TR""";;;
19.03.2020;;"Dışarı çıkma corona, evde kal deprem""";;;
19.03.2020;;"Ülkenin bitki örtüsü corona, Elazığ'da yine deprem olmuş bırakın sezon finalini direk final bile olabilir..""";;;
19.03.2020;;"Gene mi sallandik evde kalsak deprem dışarda olsak Corona nasıl bir imtihan da geçiyoruz.#CoronaVirusChallenge #deprem""";;;
19.03.2020;;"Grip virüsü de hemen hemen öyle. Öldürücülük oranı %0.1 civarı ve genelde zaten vücudunda kronik sorun olanları öldürüyor. Her sene ve her sene dünyada yarım milyar insan grip virüsüne yakalanıyor. Bu şekilde birlikte yaşamaya alıştığımız tonla virüs var. Corona virüsler ++""";;;
19.03.2020;;"Saat 21:00 ' tüm saglikcilarimiza moral olsun hepiniz çok  kiymetlisiniz hakkınız  ödenmez   #Turkey #Corona https://t.co/tpSG4lBoir""";;;
19.03.2020;;"Corona vergisi gelmediğine şükretmemiz lazım ..""";;;
19.03.2020;;"Orayada gitti corona??""";;;
19.03.2020;;"\""saat 21.00\"" da kizlarimla beraber alkisladik doktorlarımızı. Küçük kızım Corona bitti mi anne diye sordu,kıyamam yaaa""";;;
19.03.2020;;"Tertemiz delirdik #corona https://t.co/Oyt2vBYwVI""";;;
19.03.2020;;"Evde dursan deprem, dışarı çıksan corona merdiven boşluğunda hayat yaşıyoruz https://t.co/MDuZbGCdL4""";;;
19.03.2020;;"İçerde deprem dışarda corona ne bok yicez anlamadım""";;;
19.03.2020;;"Bugün corona’dan korunmak için ne yaptım? Vol.3  TERTEMİZ delirdim. #coronavirus""";;;
19.03.2020;;"AMNAKOYİM DEPREM OLDU DEPREMDE DISARI CIKMAK LAZIM DISARI CIKARSAK CORONA OLURUZ OFFFFFF #deprem #malatyadeprem #CoronaVirusUpdate #Covid_19 #evdezamangecmiyor""";;;
19.03.2020;;"Saat tam olarak 21.00 balkona çıktık sağlıkçılar için alkışa millet corona korkusundan cama balkona bile çıkmıyor karşı komşu camın arkasından alkışlıyordu en son ??""";;;
19.03.2020;;"İbne #corona Ananı da Siker geçeriz ?? https://t.co/CVS8gNUqCB""";;;
19.03.2020;;"Saat 21:00 başımı çıkardım kimse yok şimdi alkış tutsam ya beni deli diye Corona virüsten hastaneye yatırsalar diye düşünmedim değil ?? https://t.co/6R9D5vCc17""";;;
19.03.2020;;"Az Önce Elazığ Sivrice Merkezli 5.1 Depremle sallandık. Sarsıntı Malatya'dan da hissedildi. Bir yanda #corona bir yanda #deprem  Allah sonumuzu hayreylesin...""";;;
19.03.2020;;"Sizi corona virüs bahanesiyle evde film izlemeye davet edenlere itibar etmeyiniz , dolandırıcı onlar""";;;
19.03.2020;;"Deprem oluyor tam kaçıyorduk dışarda Corona olduğu tehlikesi akla gelince geri dönüyor insan #Batman""";;;
19.03.2020;;"Corona virüsün ekonomik etkilerini azaltmak için işten çıkarılan,   Belediye sözleşmelilerine sabır, sefalet ve açlık paketi düştü. @RTErdogan   @naci_agbal   @dbdevletbahceli   @mehmetozhaseki   @abdulhamitgul  #Mağdur5393Çaresiz""";;;
19.03.2020;;"Evime 50 adım mesafede özel hastane var aradım corona testi yapıyormusunuz ...hayır devlet hastanesine yönlendirme yapıyoruz..,  iyide hani bir sıkıntılı durumda en yakın sağlık birimine gidecektik ...@ismailsaymaz @nevsinmengu @SedefKabas""";;;
19.03.2020;;"Corona virüsün ekonomik etkilerini azaltmak için işten çıkarılan,   Belediye sözleşmelilerine sabır, sefalet ve açlık paketi düştü. @RTErdogan  @naci_agbal  @dbdevletbahceli  @mehmetozhaseki  @abdulhamitgul #Mağdur5393Çaresiz https://t.co/ycVdoUEL4c""";;;
19.03.2020;;"Tencere tava çalarken hiç bu kadar duygulanmamıştım?? #corona #tümdoktorlarımız @saglikbakanligi""";;;
19.03.2020;;"Yemin ediyorum arada kaldık. İçeri giriyoruz #deprem dışarı çıkıyoruz #Covid_19 ne yapalım biz nerde bekleyelim ecelimizi???? #evdezamangecmiyor  #Corona #malatyadeprem""";;;
19.03.2020;;"Olum evde herkesin psikolojisi bozuldu. Babamla benim aynı çatı altında bu kadar uzun süre beraber durmamız corona virüsünden daha tehlikeli.""";;;
19.03.2020;;"Corona'nın mutasyon hızından daha hızlı kitap çıkarmışlar. https://t.co/N6OlP1gYoQ""";;;
19.03.2020;;"*DUYURU* Sevgili arkadaşlar, Corona Virüsü sebebiyle evinizde ücretsiz rahatça okuyabilmeniz için dergimizin 2. Sayısını pdf olarak yükledik. Sokağa çıkmanın uygun olduğu zamanda fiziki olarak da bizi göreceksiniz, o zamana dek, aşağıdaki adresten okuyabilirsiniz, sevgiler:""";;;
19.03.2020;;"Corona ortalığın anasını sikti  Dewamkeeee????""";;;
19.03.2020;;"Gerçekten bütün sokak alkışladık ?????? #corona #doktor #alkış""";;;
19.03.2020;;"Corona var evden çıkmayın deprem var evden çıkın elazığ halkı olarak ölecez gerçekten... #deprem""";;;
19.03.2020;;"Bir yandan corona bir yadan deprem içeriye mi girelim dışarıya mi çıkalım bilmiyoruz""";;;
